Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-30.6243858,X,514569,6772,4450,-200,350,-7731
1,-30.6294136,V,514569,6772,4450,-200,450,-7731
2,-30.6733894,X,514669,6772,4450,-200,450,-7731
3,-30.6139717,X,514769,6772,4450,-200,450,-7731
4,-30.6789398,W,514769,6772,4450,-200,450,-7831
5,-30.6744232,V,514769,6772,4450,-200,350,-7831
6,-30.7013702,X,514869,6772,4450,-200,350,-7831
7,-30.6164207,W,514869,6772,4450,-200,350,-7731
8,-30.6515694,V,514869,6772,4450,-200,250,-7731
9,-30.6383553,Y,514869,6672,4450,-200,250,-7731
10,-30.6330605,Z,514869,6672,4550,-200,250,-7731
11,-30.6259041,V,514869,6672,4550,-200,150,-7731
12,-30.6682968,W,514869,6672,4550,-200,150,-7831
13,-30.6299324,W,514869,6672,4550,-200,150,-7731
14,-30.6340714,U,514869,6672,4550,-300,150,-7731
15,-30.61203,U,514869,6672,4550,-200,150,-7731
16,-30.6252174,U,514869,6672,4550,-100,150,-7731
17,-30.6889229,U,514869,6672,4550,0,150,-7731
18,-30.6396294,Y,514869,6772,4550,0,150,-7731
19,-30.6522522,U,514869,6772,4550,-100,150,-7731
20,-30.6436157,X,514769,6772,4550,-100,150,-7731
21,-30.6376038,V,514769,6772,4550,-100,50,-7731
22,-30.6104393,W,514769,6772,4550,-100,50,-7631
23,-30.6085472,W,514769,6772,4550,-100,50,-7731
24,-30.6066399,X,514669,6772,4550,-100,50,-7731
25,-30.584774,Y,514669,6872,4550,-100,50,-7731
26,-30.5284233,Y,514669,6972,4550,-100,50,-7731
27,-30.5135345,Z,514669,6972,4450,-100,50,-7731
28,-30.5050926,W,514669,6972,4450,-100,50,-7631
29,-30.4742966,X,514569,6972,4450,-100,50,-7631
30,-30.4683647,Y,514569,6872,4450,-100,50,-7631
31,-30.4674377,Z,514569,6872,4550,-100,50,-7631
